"ncm","excecao","desc","ipi","concat_desc"
"02109200","01","Miudezas; farinhas e pós dessas miudezas","NT","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia"
"02109300","","-- De répteis (incluindo as serpentes e as tartarugas marinhas) ","0","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- De répteis (incluindo as serpentes e as tartarugas marinhas)"
"02109300","01","Miudezas; farinhas e pós dessas miudezas","NT","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- De répteis (incluindo as serpentes e as tartarugas marinhas)"
"02109911","","De galos e de galinhas ","0","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- Outras Carnes de aves da posição 01.05 De galos e de galinhas"
"02109919","","Outras ","0","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- Outras Carnes de aves da posição 01.05 Outras"
"02109920","","Carnes da espécie ovina ","0","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- Outras Carnes da espécie ovina"
"02109930","","Carnes da espécie cavalar ","0","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- Outras Carnes da espécie cavalar"
"02109940","","Miudezas comestíveis ","NT","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- Outras Miudezas comestíveis"
"02109990","","Outras ","0","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- Outras Outras"
"02109990","01","Farinhas e pós das miudezas do código 0210.99.40","NT","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- Outras Outras"
"03011110","","Aruanã (Osteoglossum bicirrhosum) ","NT","Peixes vivos. - Peixes ornamentais: -- De água doce Aruanã (Osteoglossum bicirrhosum)"
"03011190","","Outros ","NT","Peixes vivos. - Peixes ornamentais: -- De água doce Outros"
"03011900","","-- Outros ","NT","Peixes vivos. - Peixes ornamentais: -- Outros"
"03019110","","Para reprodução ","NT","Peixes vivos. - Outros peixes vivos: -- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) Para reprodução"
"03019190","","Outras ","NT","Peixes vivos. - Outros peixes vivos: -- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) Outras"
"03019210","","Para reprodução ","NT","Peixes vivos. - Outros peixes vivos: -- Enguias (Anguilla spp.) Para reprodução"
"03019290","","Outras ","NT","Peixes vivos. - Outros peixes vivos: -- Enguias (Anguilla spp.) Outras"
"03019310","","Para reprodução ","NT","Peixes vivos. - Outros peixes vivos: -- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.) Para reprodução"
"03019390","","Outras ","NT","Peixes vivos. - Outros peixes vivos: -- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.) Outras"
"03019410","","Para reprodução ","NT","Peixes vivos. - Outros peixes vivos: -- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis) Para reprodução"
"03019490","","Outras ","NT","Peixes vivos. - Outros peixes vivos: -- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis) Outras"
"03019510","","Para reprodução ","NT","Peixes vivos. - Outros peixes vivos: -- Atum-azul do sul (atum) (Thunnus maccoyii) Para reprodução"
"03019590","","Outros ","NT","Peixes vivos. - Outros peixes vivos: -- Atum-azul do sul (atum) (Thunnus maccoyii) Outros"
"03019911","","Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos) ","NT","Peixes vivos. - Outros peixes vivos: -- Outros Para reprodução Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
"03019912","","Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus) ","NT","Peixes vivos. - Outros peixes vivos: -- Outros Para reprodução Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)"
"03019919","","Outros ","NT","Peixes vivos. - Outros peixes vivos: -- Outros Para reprodução Outros"
"03019991","","Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos) ","NT","Peixes vivos. - Outros peixes vivos: -- Outros Outros Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
"03019992","","Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus) ","NT","Peixes vivos. - Outros peixes vivos: -- Outros Outros Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)"
"03019999","","Outros ","NT","Peixes vivos. - Outros peixes vivos: -- Outros Outros Outros"
"03021100","","-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) ","0","Peixes frescos ou refrigerados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04. - Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99: -- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
"03021300","","-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus) ","0","Peixes frescos ou refrigerados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04. - Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99: -- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)"
"03021400","","-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho) ","0","Peixes frescos ou refrigerados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04. - Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99: -- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)"
"03021900","","-- Outros ","0","Peixes frescos ou refrigerados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04. - Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99: -- Outros"
"03022100","","-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) ","0","Peixes frescos ou refrigerados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04. - Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99: -- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
